Question,Answer,Reason
"ตามระเบียบกระทรวงการคลังว่าด้วยการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560  
ให้เจ้าหน้าที่จัดทําเอกสารซื้อหรือจ้างด้วยวิธีประกวดราคาอิเล็กทรอนิกส์พร้อมกับเอกสารใดตามแบบ        
ที่คณะกรรมการนโยบายกําหนด",ประกาศเชิญชวน,"ตามระเบียบกระทรวงการคลังว่าด้วยการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ  พ.ศ. 2560 หมวด 2 ส่วนที่ 2 ข้อ 43 ให้เจ้าหน้าที่จัดทําเอกสารซื้อหรือจ้างด้วยวิธีประกวดราคาอิเล็กทรอนิกส์
พร้อมกับประกาศเชิญชวน ตามแบบที่คณะกรรมการนโยบายกําหนด "
"มติที่ประชุมของคณะกรรมการแต่ละคณะตามระเบียบกระทรวงการคลังว่าด้วยการ 
จัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 ให้ถืออย่างไร","มติของคณะกรรมการทุกคณะให้ถือเสียงข้างมาก เว้นแต่คณะกรรมการตรวจรับพัสดุ 
ให้ถือมติเอกฉันท์ให้ประธานกรรมการออกเสียงเพิ่มขึ้นอีกเสียงหนึ่งเป็นเสียงชี้ขาด เว้นแต่คณะกรรมการตรวจรับพัสดุให้ถือ 
มติเอกฉันท์ ",ตามระเบียบกระทรวงการคลังว่าด้วยการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 หมวด 2 ส่วนที่ 2 ข้อ 27 วรรค 2 มติของคณะกรรมการให้ถือเสียงข้างมาก ถ้าคะแนนเสียงเท่ากัน ให้ประธานกรรมการออกเสียงเพิ่มขึ้นอีกเสียงหนึ่งเป็นเสียงชี้ขาด เว้นแต่คณะกรรมการตรวจรับพัสดุให้ถือ มติเอกฉันท์
"เมื่อได้ดําเนินการจัดซื้อจัดจ้างเสร็จเรียบร้อยแล้ว ต้องทําสัญญาตามแบบที่คณะกรรมการใด
เป็นผู้กําหนด",คณะกรรมการนโยบายการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ,ตามพระราชบัญญัติการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 หมวด 9 มาตรา 93 วรรค 1 หน่วยงานของรัฐต้องทําสัญญาตามแบบที่คณะกรรมการนโยบายกําหนด โดยความเห็นของสํานักงานอัยการสูงสุด ทั้งนี้ แบบสัญญานั้นให้ประกาศในราชกิจจานุเบกษาด้วย
"ผู้ยื่นข้อเสนอเพื่อทําการจัดซื้อจัดจ้างพัสดุ จะยื่นอุทธรณ์ในเรื่อง “การเลือกใช้วิธีการจัดซื้อจัดจ้าง
ของหน่วยงานของรัฐ และการเลือกเกณฑ์ที่ใช้ในการพิจารณาผล” ได้หรือไม่",ไม่ได้,ตามพระราชบัญญัติการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560  หมวด 14 มาตรา 114 และ 115       มาตรา 114 ผู้ซึ่งได้ยื่นข้อเสนอเพื่อทําการจัดซื้อจัดจ้างพัสดุกับหน่วยงานของรัฐ  มีสิทธิอุทธรณ์เกี่ยวกับการ จัดซื้อจัดจ้างพัสดุ ในกรณีที่เห็นว่าหน่วยงานของรัฐมิได้ปฏิบัติให้เป็นไปตามหลักเกณฑ์และวิธีการที่กําหนด  ในพระราชบัญญัตินี้ กฎกระทรวง ระเบียบ หรือประกาศที่ออกตามความในพระราชบัญญัตินี้เป็นเหตุให้ตนไม่ได้รับ การประกาศผลเป็นผู้ชนะหรือไม่ได้รับการคัดเลือกเป็นคู่สัญญากับหน่วยงานของรัฐ     มาตรา 115 ผู้มีสิทธิอุทธรณ์จะยื่นอุทธรณ์ในเรื่องดังต่อไปนี้ไม่ได้          (1) การเลือกใช้วิธีการจัดซื้อจัดจ้างหรือเกณฑ์ที่ใช้ในการพิจารณาผลการจัดซื้อจัดจ้าง ตามพระราชบัญญัตินี้ของหน่วยงานของรัฐ                                (2) การยกเลิกการจัดซื้อจัดจ้างตามมาตรา 67          (3) การละเว้นการอ้างถึงพระราชบัญญัตินี้ กฎกระทรวง ระเบียบ หรือประกาศที่ออก ตามพระราชบัญญัตินี้ในส่วนที่เกี่ยวข้องโดยตรงกับการจัดซื้อจัดจ้างในประกาศ เอกสารหรือหนังสือเชิญชวนของ หน่วยงานของรัฐ          (4) กรณีอื่นตามที่กําหนดในกฎกระทรวง
"กรมที่ดินได้ดําเนินการประกวดราคาซื้อคอมพิวเตอร์และอุปกรณ์ จํานวน 300 ชุด ด้วยวิธีประกวด
ราคาอิเล็กทรอนิกส์ เป็นเงินงบประมาณ 3,000,000 บาท โดยกําหนดให้ผู้ประกอบการเสนอราคาด้วยวิธีประกวด
ราคาอิเล็กทรอนิกส์ ในวันที่ 1 กันยายน 2560 เมื่อสิ้นสุดการเสนอราคาคณะกรรมการพิจารณาผลการประกวด
ราคา จะต้องดําเนินการอย่างไรตามระเบียบฯ เป็นลําดับแรก","จัดพิมพ์ใบเสนอราคาและเอกสารการเสนอราคาของผู้ยื่นข้อเสนอทุกรายจากระบบ  
ประกวดราคาอิเล็กทรอนิกส์ จํานวน 1 ชุด โดยให้กรรมการทุกคนลงลายมือชื่อกํากับไว้ในใบเสนอราคา  
และเอกสารการเสนอราคาของผู้ยื่นข้อเสนอทุกแผ่น(1) จัดพิมพ์ใบเสนอราคาและเอกสารการเสนอราคาของผู้ยื่นข้อเสนอทุกรายจากระบบ ประกวดราคา
อิเล็กทรอนิกส์ จํานวน 1 ชุด โดยให้กรรมการทุกคนลงลายมือชื่อกํากับไว้ในใบเสนอราคา และเอกสารการเสนอ
ราคาของผู้ยื่นข้อเสนอทุกแผ่น ",ตามระเบียบกระทรวงการคลังว่าด้วยการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 หมวด 2 ส่วนที่ 2 ข้อ 55 (1) จัดพิมพ์ใบเสนอราคาและเอกสารการเสนอราคาของผู้ยื่นข้อเสนอทุกรายจากระบบ ประกวดราคา อิเล็กทรอนิกส์ จํานวน 1 ชุด โดยให้กรรมการทุกคนลงลายมือชื่อกํากับไว้ในใบเสนอราคา และเอกสารการเสนอ ราคาของผู้ยื่นข้อเสนอทุกแผ่น
"กรมที่ดินได้ทําสัญญาจ้างซ่อมเครื่องถ่ายเอกสาร เป็นเงินรวม 150,000 บาท โดยการเปลี่ยนอะไหล่ 3 รายการ (ค่าปรับในอัตราวันละ 0.10 แต่ต้องไม่ต่ํากว่าวันละ 100 บาท) ซึ่งครบกําหนดส่งมอบงานในวันที่ 15 มิถุนายน 2560 ผู้รับจ้างได้ส่งมอบการซ่อมเครื่องถ่ายเอกสารให้ในวันที่ 15 มิถุนายน 2560 คณะกรรมการตรวจรับ พัสดุ ได้ตรวจรับการซ่อมเครื่องถ่ายเอกสาร ปรากฏว่าผู้รับจ้างได้เปลี่ยนอะไหล่ให้ 3 รายการ ครบถ้วน ถูกต้อง ตามเงื่อนไขของสัญญา แต่เครื่องถ่ายไม่สามารถใช้งานได้ จะต้องเปลี่ยนอะไหล่เพิ่มอีก 2 รายการ คณะกรรมการ ตรวจรับพัสดุ จะต้องดําเนินการอย่างไรให้เป็นไปตามระเบียบฯ",ตรวจรับงานจ้างซ่อมเครื่องถ่ายเอกสาร เนื่องจากผู้รับจ้างเปลี่ยนอะไหล่ให้ถูกต้อง ครบถ้วน ตามสัญญา,ตามระเบียบกระทรวงการคลังว่าด้วยการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 หมวด 6 ข้อ 175
"กรมที่ดินได้ทําสัญญาซื้อขายคอมพิวเตอร์ จํานวน 50 ชุด เป็นเงินรวมทั้งสิ้น 2,000,000 บาท  
(ค่าปรับตามสัญญากําหนดในอัตราร้อยละ 0.20) ครบกําหนดส่งมอบในวันที่ 10 พฤษภาคม 2560 ผู้ขายส่งของ 
เมื่อวันที่ 10 พฤษภาคม 2560 คณะกรรมการตรวจรับพัสดุได้ดําเนินการตรวจรับ  ในวันที่ผู้ขายได้นําสิ่งของมาส่งมอบ 
ผลปรากฏว่าคอมพิวเตอร์ จํานวน 50 ชุด ครบถ้วนถูกต้อง แต่จอภาพชํารุดใช้งานไม่ได้จํานวน 10 จอ ได้แจ้งให้ผู้ขายทราบ
ในวันที่ 12 พฤษภาคม 2560 เพื่อให้นําจอภาพที่ชํารุดมาเปลี่ยน ปรากฏว่าผู้ขายได้นําจอภาพจํานวน 10 จอ มาเปลี่ยนให้ 
ในวันที่ 20 พฤษภาคม 2560 คณะกรรมการตรวจรับพัสดุ จึงได้ร่วมกันตรวจรับปรากฏว่าจอภาพสามารถใช้งานได้ตาม
เงื่อนไขของสัญญา อยากทราบว่ากรณีนี้ผู้ขายจะต้องถูกปรับกี่วัน และเป็นจํานวนเงินเท่าไร","จํานวนวันที่ผู้ขายต้องเสียค่าปรับ  8 วัน เป็นเงิน  6,400  บาท 
  
  
- จํานวน 8 วัน (13 – 20 พฤษภาคม 2560) 
  
  
- 6,400 บาท (คอมฯ 10 ชุด เป็นเงิน 400,000 บาท = 400,000 X .002 X 8 วัน)",ตามระเบียบกระทรวงการคลังว่าด้วยการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ   พ.ศ. 2560 หมวด 5 ส่วนที่ 1
"นายสีสด เลือดแดง ได้รับแต่งตั้งให้เป็นคณะกรรมการตรวจรับพัสดุในการจ้างก่อสร้างอาคาร 
สํานักงานที่ดินจังหวัดพร้อมส่วนประกอบที่จําเป็น ในฐานะที่ท่านเป็นหัวหน้าเจ้าหน้าที่ ท่านจะแนะนําให้ 
นายสีสด เลือดแดง ดําเนินการอย่างไร","แนะนําให้ดําเนินการตามหน้าที่ของคณะกรรมการตรวจรับพัสดุในงานจ้างก่อสร้าง 
ตามระเบียบกระทรวงการคลังว่าด้วยการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 หมวด 6 ข้อ 176",ตามระเบียบกระทรวงการคลังว่าด้วยการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 หมวด 6 ข้อ 176
"ผู้รับจ้างขอเปลี่ยนแปลงวัสดุในการก่อสร้างตามที่ได้ใช้ก่อสร้างจริง ซึ่งวัสดุดังกล่าวมีคุณสมบัติต่ํากว่า
ที่กําหนดไว้ในสัญญา สามารถแก้ไขเปลี่ยนแปลงสัญญาได้หรือไม่ อย่างไร",ไม่ได้ เนื่องจากวัสดุที่ผู้รับจ้างขอเปลี่ยนแปลงมีคุณสมบัติต่ํากว่าที่กําหนดไว้ในสัญญา ทําให้รัฐ เสียประโยชน์ ตามนัยพระราชบัญญัติการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 มาตรา 97 ซึ่งกําหนดว่า “สัญญาหรือข้อตกลงเป็นหนังสือที่ได้ลงนามแล้วจะแก้ไขเปลี่ยนแปลงมิได้ เว้นแต่การแก้ไขนั้น เป็นการแก้ไข ตามมาตรา 93 วรรคห้า ในกรณีที่มีความจําเป็นต้องแก้ไขสัญญาหรือข้อตกลง หากการแก้ไขนั้นไม่ทําให้หน่วยงาน ของรัฐเสียประโยชน์ หรือเป็นการแก้ไขเพื่อประโยชน์แก่หน่วยงานของรัฐหรือประโยชน์สาธารณะ หรือกรณีอื่น ตามที่กําหนดในกฎกระทรวง”,พระราชบัญญัติการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 มาตรา 97
"คณะกรรมการที่ได้รับมอบหมายให้ปฏิบัติหน้าที่แทนคณะกรรมการ กวพ. เกี่ยวกับการจัดซื้อ 
จัดจ้างและบริหารพัสดุภาครัฐ ตาม พ.ร.บ.การจัดซื้อจัดจ้างฯ พ.ศ. 2560 มีจํานวนกี่ชุด อะไรบ้าง","มีจํานวน 5 ชุด คือ 
  
  
1. คณะกรรมการนโยบาย 
  
  
2. คณะกรรมการวินิจฉัย 
  
  
3. คณะกรรมการราคากลาง 
  
  
4. คณะกรรมการ ค.ป.ท. 
  
  
5. คณะกรรมการพิจารณาอุทธรณ์","พระราชบัญญัติการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 หมวด 3  มาตรา 20, 27, 32, 37 และ 41"
คณะกรรมการ ค.ป.ท. หมายถึงคณะกรรมการใด และมีอํานาจหน้าที่อย่างไรบ้าง,"หมายถึง คณะกรรมการความร่วมมือป้องกันการทุจริต มีอํานาจหน้าที่ ดังนี้ 
  
  
(1) กําหนดแนวทางและวิธีการในการดําเนินงานโครงการความร่วมมือป้องกันการทุจริตในการ
จัดซื้อจัดจ้างภาครัฐ 
  
  
(2) กําหนดแบบของข้อตกลงคุณธรรมและแบบรายงานของผู้สังเกตการณ์ 
  
  
(3) คัดเลือกโครงการการจัดซื้อจัดจ้างเพื่อเข้าร่วมโครงการความร่วมมือป้องกันการทุจริตในการ
จัดซื้อจัดจ้างภาครัฐ 
  
  
(4) คัดเลือกผู้สังเกตการณ์เพื่อเข้าร่วมโครงการความร่วมมือป้องกันการทุจริตในการจัดซื้อจัดจ้าง
ภาครัฐ 
  
  
(5) ตีความและวินิจฉัยปัญหาข้อหารือเกี่ยวกับแนวทางและวิธีการในการดําเนินงานโครงการ
ความร่วมมือป้องกันการทุจริตในการจัดซื้อจัดจ้างภาครัฐตาม (1) 
  
  
(6) ยกเว้นหรือผ่อนผันกรณีที่ไม่สามารถปฏิบัติตามรายละเอียดของแนวทางและวิธีการในการ
ดําเนินงานโครงการความร่วมมือป้องกันการทุจริตในการจัดซื้อจัดจ้างภาครัฐตาม (1)ุ
ฐ
  
  
(8) จัดทํารายงานผลการประเมินโครงการการจัดซื้อจัดจ้างที่เข้าร่วมโครงการความร่วมมือป้องกัน
การทุจริตในการจัดซื้อจัดจ้างภาครัฐเสนอคณะกรรมการนโยบายอย่างน้อยปีละหนึ่งครั้ง",พระราชบัญญัติการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 หมวด 3  มาตรา 39
งานจ้างออกแบบหรือควบคุมงานก่อสร้าง กระทําได้กี่วิธี อะไรบ้าง,4 วิธี คือ 1. วิธีประกาศเชิญชวนทั่วไป 2. วิธีคัดเลือก 3. วิธีเฉพาะเจาะจง 4. วิธีประกวดแบบ,พระราชบัญญัติการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 หมวด 8  มาตรา 79
ใครเป็นผู้มีอํานาจสั่งให้ผู้ยื่นข้อเสนอหรือคู่สัญญาเป็นผู้ทิ้งงาน,ปลัดกระทรวงการคลัง,พระราชบัญญัติการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 หมวด 12  มาตรา 109
"พัสดุที่จําเป็นต้องซื้อโดยตรงจากต่างประเทศ หรือดําเนินการโดยผ่านองค์การระหว่างประเทศ 
จะต้องจัดซื้อด้วยวิธีใด",วิธีคัดเลือก,พระราชบัญญัติการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 หมวด 6     การจัดซื้อจัดจ้างมาตรา 56 (1) (จ)
"พัสดุที่ใช้ในราชการลับ หรือเป็นงานที่ต้องปกปิดเป็นความลับของหน่วยงานของรัฐหรือที่เกี่ยวกับ
ความมั่นคงของประเทศ จะต้องจัดซื้อด้วยวิธีใด",วิธีคัดเลือก,พระราชบัญญัติการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 หมวด 6     การจัดซื้อจัดจ้างมาตรา 56 (1) (ฉ)
"พัสดุที่ขายทอดตลาดโดยหน่วยงานของรัฐ องค์การระหว่างประเทศหรือหน่วยงานของ
ต่างประเทศจะต้องจัดซื้อด้วยวิธีใด",วิธีเฉพาะเจาะจง,พระราชบัญญัติการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 หมวด 6 การจัดซื้อจัดจ้างมาตรา 56 (2) (ฉ)
